Effective date ,Dow Jones Commodity Index Lean Hogs
1/19/2017,159.02
1/20/2017,157.87
1/23/2017,156.25
1/24/2017,155.91
1/25/2017,161.73
1/26/2017,154.99
1/27/2017,157.46
1/30/2017,157.29
1/31/2017,159.65
2/1/2017,159.31
2/2/2017,160.4
2/3/2017,161.96
2/6/2017,164.21
2/7/2017,166.4
2/8/2017,165.36
2/9/2017,163.17
2/10/2017,163.86
2/13/2017,160.69
2/14/2017,164.38
2/15/2017,163.17
2/16/2017,160.98
2/17/2017,163.17
2/21/2017,162.19
2/22/2017,156.2
2/23/2017,153.49
2/24/2017,156.83
2/27/2017,157.06
2/28/2017,155.85
3/1/2017,157.75
3/2/2017,157.41
3/3/2017,153.89
3/6/2017,154.87
3/7/2017,161.21
3/8/2017,165.96
3/9/2017,169.19
3/10/2017,173.27
3/13/2017,181.5
3/14/2017,182.54
3/15/2017,181.73
3/16/2017,181.38
3/17/2017,178.27
3/20/2017,178.39
3/21/2017,175.97
3/22/2017,174.64
3/23/2017,178.9
3/24/2017,174.64
3/27/2017,169.51
3/28/2017,167.03
3/29/2017,167.72
3/30/2017,171.18
3/31/2017,170.26
4/3/2017,167.49
4/4/2017,165.94
4/5/2017,166.05
4/6/2017,169.91
4/7/2017,167.78
4/10/2017,168.93
4/11/2017,170.61
4/12/2017,166.63
4/13/2017,167.15
4/17/2017,166.8
4/18/2017,164.84
4/19/2017,161.27
4/20/2017,158.33
4/21/2017,157.52
4/24/2017,160.29
4/25/2017,165.59
4/26/2017,163.11
4/27/2017,167.9
4/28/2017,170.61
5/1/2017,168.93
5/2/2017,170.95
5/3/2017,174.18
5/4/2017,176.31
5/5/2017,176.2
5/8/2017,178.25
5/9/2017,178.56
5/10/2017,178.12
5/11/2017,177.69
5/12/2017,181.21
5/15/2017,180.63
5/16/2017,183.23
5/17/2017,182.13
5/18/2017,182.77
5/19/2017,184.84
5/22/2017,184.55
5/23/2017,184.5
5/24/2017,184.09
5/25/2017,185.76
5/26/2017,188.82
5/30/2017,186.74
5/31/2017,191.41
6/1/2017,189.34
6/2/2017,188.99
6/5/2017,185.42
6/6/2017,187.61
6/7/2017,186.76
6/8/2017,189.03
6/9/2017,189.76
6/12/2017,184.76
6/13/2017,184.96
6/14/2017,185.36
6/15/2017,181.96
6/16/2017,182.42
6/19/2017,187.84
6/20/2017,188.24
6/21/2017,189.57
6/22/2017,184.15
6/23/2017,181.33
6/26/2017,181.38
6/27/2017,181.1
6/28/2017,183.23
6/29/2017,186.17
6/30/2017,193.08
7/3/2017,194.58
7/5/2017,194.99
7/6/2017,190.55
7/7/2017,191.87
7/10/2017,183.49
7/11/2017,177.57
7/12/2017,172.02
7/13/2017,165.91
7/14/2017,154.87
7/17/2017,156.89
7/18/2017,156.48
7/19/2017,158.62
7/20/2017,156.43
7/21/2017,154.99
7/24/2017,153.2
7/25/2017,154.12
7/26/2017,155.97
7/27/2017,156.02
7/28/2017,153.31
7/31/2017,152.22
8/1/2017,148.47
8/2/2017,152.68
8/3/2017,151.01
8/4/2017,153.95
8/7/2017,157.06
8/8/2017,156.2
8/9/2017,157.35
8/10/2017,156.71
8/11/2017,158.21
8/14/2017,159.48
8/15/2017,162.59
8/16/2017,158.56
8/17/2017,154.29
8/18/2017,152.45
8/21/2017,149.11
8/22/2017,147.26
8/23/2017,146.51
8/24/2017,147.03
8/25/2017,145.42
8/28/2017,142.07
8/29/2017,138.85
8/30/2017,141.44
8/31/2017,141.56
9/1/2017,141.67
9/5/2017,146.97
9/6/2017,146.51
9/7/2017,141.67
9/8/2017,141.79
9/11/2017,139.24
9/12/2017,133.81
9/13/2017,132.18
9/14/2017,130.32
9/15/2017,134.81
9/18/2017,133.83
9/19/2017,137.69
9/20/2017,138.16
9/21/2017,133.26
9/22/2017,130.55
9/25/2017,132.39
9/26/2017,133.95
9/27/2017,137.52
9/28/2017,134.35
9/29/2017,138.21
10/2/2017,142.88
10/3/2017,143.11
10/4/2017,142.71
10/5/2017,144.78
10/6/2017,140.46
10/9/2017,140.52
10/10/2017,141.9
10/11/2017,144.09
10/12/2017,142.07
10/13/2017,143.4
10/16/2017,146.86
10/17/2017,143.34
10/18/2017,146.97
10/19/2017,148.13
10/20/2017,149.51
10/23/2017,146.46
10/24/2017,147.61
10/25/2017,148.65
10/26/2017,149.97
10/27/2017,148.59
10/30/2017,150.26
10/31/2017,156.77
11/1/2017,153.54
11/2/2017,151.7
11/3/2017,150.09
11/6/2017,148.99
11/7/2017,150.58
11/8/2017,152.23
11/9/2017,155.4
11/10/2017,158.37
11/13/2017,162.07
11/14/2017,155.62
11/15/2017,155.5
11/16/2017,153.49
11/17/2017,154.64
11/20/2017,157.87
11/21/2017,154.35
11/22/2017,159.31
11/24/2017,160
11/27/2017,161.61
11/28/2017,164.9
11/29/2017,163.46
11/30/2017,160.86
